date,open,high,low,close,tick_volume
2026-03-12 10:42:00,5173.43,5178.54,5173.42,5178.18,
2026-03-12 10:43:00,5178.19,5178.46,5176.55,5178.09,
2026-03-12 10:44:00,5178.09,5179.79,5177.9,5178.71,
2026-03-12 10:45:00,5178.78,5185.04,5178.63,5184.75,
2026-03-12 10:46:00,5184.88,5185.23,5180.73,5180.77,
2026-03-12 10:47:00,5180.47,5181.5,5179.24,5180.07,
2026-03-12 10:48:00,5180.07,5180.3,5179.44,5179.68,
2026-03-12 10:49:00,5179.68,5180.1,5179.12,5179.12,
2026-03-12 10:50:00,5179.23,5180.31,5179.18,5179.79,
2026-03-12 10:51:00,5179.79,5179.81,5178.55,5178.6,
2026-03-12 10:52:00,5178.6,5178.68,5176.65,5176.83,
2026-03-12 10:53:00,5176.83,5177.11,5176.0,5176.54,
2026-03-12 10:54:00,5176.49,5179.03,5176.16,5178.81,
2026-03-12 10:55:00,5178.81,5179.29,5177.27,5177.52,
2026-03-12 10:56:00,5177.53,5178.77,5177.13,5178.12,
2026-03-12 10:57:00,5178.12,5179.59,5177.9,5179.55,
2026-03-12 10:58:00,5179.54,5180.23,5179.18,5179.88,
2026-03-12 10:59:00,5179.85,5182.62,5179.84,5182.0,
2026-03-12 11:00:00,5182.0,5185.64,5181.98,5185.24,
2026-03-12 11:01:00,5185.25,5189.64,5184.95,5186.29,
2026-03-12 11:02:00,5186.02,5186.02,5183.02,5183.65,
2026-03-12 11:03:00,5183.59,5184.5,5182.51,5182.8,
2026-03-12 11:04:00,5182.8,5185.28,5181.51,5184.74,
2026-03-12 11:05:00,5184.74,5185.17,5183.57,5184.07,
2026-03-12 11:06:00,5184.07,5184.45,5183.2,5183.98,
2026-03-12 11:07:00,5183.95,5183.95,5181.96,5183.42,
2026-03-12 11:08:00,5183.44,5185.41,5182.2,5184.35,
2026-03-12 11:09:00,5184.35,5185.8,5183.72,5183.77,
2026-03-12 11:10:00,5183.77,5186.99,5183.72,5186.38,
2026-03-12 11:11:00,5188.55,5188.55,5184.56,5185.18,
2026-03-12 11:12:00,5185.17,5185.19,5183.87,5184.95,
2026-03-12 11:13:00,5184.99,5184.99,5182.31,5182.32,
2026-03-12 11:14:00,5182.31,5182.78,5180.85,5181.56,
2026-03-12 11:15:00,5181.64,5182.11,5181.06,5181.98,
2026-03-12 11:16:00,5181.93,5184.49,5181.93,5183.6,
2026-03-12 11:17:00,5183.78,5183.93,5181.49,5182.21,
2026-03-12 11:18:00,5182.2,5182.37,5181.29,5181.78,
2026-03-12 11:19:00,5181.78,5182.66,5181.74,5181.82,
2026-03-12 11:20:00,5181.82,5181.86,5179.91,5179.99,
2026-03-12 11:21:00,5179.99,5181.03,5179.34,5180.73,
2026-03-12 11:22:00,5180.73,5180.74,5179.28,5179.86,
2026-03-12 11:23:00,5179.86,5179.91,5178.4,5179.37,
2026-03-12 11:24:00,5179.59,5180.99,5178.36,5178.36,
2026-03-12 11:25:00,5178.36,5179.71,5178.18,5178.56,
2026-03-12 11:26:00,5178.5,5180.34,5178.45,5179.95,
2026-03-12 11:27:00,5179.95,5180.15,5178.53,5179.18,
2026-03-12 11:28:00,5179.19,5179.48,5178.37,5178.37,
2026-03-12 11:29:00,5178.37,5178.37,5177.18,5177.49,
2026-03-12 11:30:00,5177.49,5179.15,5177.46,5179.01,
